com.samsung.shealth.stand_day_summary,6261011,2
create_sh_ver,stand_time,modify_sh_ver,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
,0,,2020-10-05 02:17:45.635,2020-10-04 04:00:04.430,PEzvKidhug,com.sec.android.app.shealth,616db73b-add4-6718-62ce-aa9b019672ba,1601769600000,
,0,,2021-08-03 04:00:04.243,2021-08-03 04:00:04.243,C2yRtg360R,com.sec.android.app.shealth,ba70a62c-f4de-c6c5-3bb0-64ea63a815c0,1627948800000,
,0,,2021-05-26 04:00:03.744,2021-05-26 04:00:03.743,C2yRtg360R,com.sec.android.app.shealth,2de3fea2-372e-f8a9-5094-74e718631e6f,1621987200000,
,0,,2020-12-19 05:00:03.525,2020-12-19 05:00:03.525,PEzvKidhug,com.sec.android.app.shealth,6f7a8376-870d-081e-d7f9-2f982df05d58,1608336000000,
,0,,2019-11-11 05:01:11.215,2019-11-11 05:01:11.215,PEzvKidhug,com.sec.android.app.shealth,fe1e1b37-cec2-a85b-bb2c-c52de9aa11ec,1573430400000,
,294912,,2021-05-21 22:40:58.239,2021-05-21 04:00:05.751,C2yRtg360R,com.sec.android.app.shealth,0a32cd6d-e7db-2c4a-30ed-60612e3d7283,1621555200000,
,2097152,,2020-02-22 02:10:33.309,2020-02-21 05:00:03.539,PEzvKidhug,com.sec.android.app.shealth,f3d1fa0d-fa2d-d789-4f0b-439ebb532807,1582243200000,
,1048576,,2019-11-11 01:12:03.337,2019-11-10 05:00:50.472,PEzvKidhug,com.sec.android.app.shealth,194acc3b-85a0-67b6-ab4f-a4f51981b690,1573344000000,
,131072,,2019-12-16 22:26:46.309,2019-12-16 05:00:02.662,PEzvKidhug,com.sec.android.app.shealth,2845f1ff-eb25-de1d-4e4b-bb1b1782a0cd,1576454400000,
,0,,2021-02-12 19:44:11.587,2021-02-12 05:00:04.164,PEzvKidhug,com.sec.android.app.shealth,47bcb8d9-46ff-64cd-b2da-4b985f34f1c5,1613088000000,
,0,,2021-04-19 04:00:07.900,2021-04-19 04:00:07.900,C2yRtg360R,com.sec.android.app.shealth,0afcd186-4b4f-ce7c-3c1e-a3a6cb77282f,1618790400000,
,65536,,2020-01-27 21:55:03.312,2020-01-27 05:03:49.332,PEzvKidhug,com.sec.android.app.shealth,dcbbb0b8-b0de-29dc-c3dc-d7e955277f11,1580083200000,
,0,,2019-08-27 20:55:37.640,2019-08-27 04:00:03.572,PEzvKidhug,com.sec.android.app.shealth,dd929509-31b0-eb53-71ea-43eff18b7ab2,1566864000000,
,36864,,2021-06-26 19:22:17.751,2021-06-26 04:00:07.037,C2yRtg360R,com.sec.android.app.shealth,ca32cd41-bff0-7b08-9a49-5936eeb324af,1624665600000,
,0,,2021-08-27 04:00:03.753,2021-08-27 04:00:03.753,C2yRtg360R,com.sec.android.app.shealth,742b4762-03df-5797-1912-a4d21b8e391d,1630022400000,
,0,,2020-09-02 22:52:45.397,2020-09-02 22:52:45.396,PEzvKidhug,com.sec.android.app.shealth,05fce784-f6d7-0e4e-26b7-131c8c5afa99,1599004800000,
,0,,2021-09-20 04:00:02.793,2021-09-20 04:00:02.793,C2yRtg360R,com.sec.android.app.shealth,f0a126f6-5c1a-84e6-ff15-aef86a809565,1632096000000,
,0,,2021-06-13 04:00:04.769,2021-06-13 04:00:04.768,C2yRtg360R,com.sec.android.app.shealth,0fe2c1f5-c9ce-90ec-66b5-a6e800b5e84e,1623542400000,
