com.samsung.shealth.activity.day_summary,6261011,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,4695,,2968371,,0,,2016-06-16 17:12:40.066,,2016-06-15 04:01:07.772,,,,60,480000,80,,,,3757.6794,,214.14003,0bcb1d48-9f58-4c2a-82fb-409aaf84de3e.extra_data.json,OBFuvbOf82,52756,com.sec.android.app.shealth,2915615,29040000,0bcb1d48-9f58-4c2a-82fb-409aaf84de3e,1465948800000,
,,,,7230,,4618838,,0,,2015-12-20 00:12:52.292,,2015-12-18 05:00:02.476,,,,60,360000,126,,,,5620.1396,,309.51004,1d6d588b-95c3-4c0b-b294-e7646b24b631.extra_data.json,OBFuvbOf82,19374,com.sec.android.app.shealth,4599464,26040000,1d6d588b-95c3-4c0b-b294-e7646b24b631,1450396800000,
,,,,3092,,1813678,,0,,2015-12-31 01:25:06.929,,2015-12-30 05:00:02.972,,,,60,1603727,48,,,,2100.161,,114.0622,2f25c293-beef-468d-9769-c827ff89b5cc.extra_data.json,OBFuvbOf82,36161,com.sec.android.app.shealth,1777517,33060000,2f25c293-beef-468d-9769-c827ff89b5cc,1451433600000,
,,,,3441,,2109170,,0,,2016-07-05 04:59:42.958,,2016-07-04 04:00:06.726,,,,60,240000,56,,,,2800.5703,,160.94,071bc530-88a3-420b-b087-daee1a504389.extra_data.json,OBFuvbOf82,42772,com.sec.android.app.shealth,2066398,62880000,071bc530-88a3-420b-b087-daee1a504389,1467590400000,
null
,,,,8647,,4491077,,0,,2016-06-08 17:45:56.136,,2016-05-21 04:00:38.955,,,,60,3756000,121,,,,5646.046,,311.33917,64344b60-abf6-41ef-8228-d6cc26fceb07.extra_data.json,OBFuvbOf82,55153,com.sec.android.app.shealth,4435924,50760000,64344b60-abf6-41ef-8228-d6cc26fceb07,1463788800000,
,,,,1899,,1157695,,0,,2016-01-14 23:22:44.560,,2016-01-14 05:00:01.048,,,,60,180000,30,,,,1496.73,,84.26999,9a92533c-9ab2-47b8-b5ae-f18bedd12ba8.extra_data.json,OBFuvbOf82,21127,com.sec.android.app.shealth,1136568,45060000,9a92533c-9ab2-47b8-b5ae-f18bedd12ba8,1452729600000,
,,,,4676,,2910156,,0,,2016-04-29 21:11:51.139,,2016-04-28 04:00:08.270,,,,60,240000,78,,,,3843.2798,,212.52998,ebd67152-ab87-4ca5-bea7-68ace8557de7.extra_data.json,OBFuvbOf82,58431,com.sec.android.app.shealth,2851725,49200000,ebd67152-ab87-4ca5-bea7-68ace8557de7,1461801600000,
,,,,3965,,2395487,,0,,2015-11-11 23:15:01.970,,2015-11-11 05:00:02.434,,,,60,480000,65,,,,3164.4197,,183.36002,d57bea75-1bfa-44a1-ad5a-a4d349784598.extra_data.json,TiXFQW5DKB,69678,com.sec.android.app.shealth,2325809,36120000,d57bea75-1bfa-44a1-ad5a-a4d349784598,1447200000000,
null
