date,calories,carbs_g,fat_g,protein_g,chol_mg,sodium_mg,sugar_g,fiber_g
2012-07-20,2010,288,50,36,35,848,132,17
2012-07-21,1843,271,61,65,154,4570,146,6
2012-07-22,2350,321,99,60,113,3269,110,18
2012-07-23,1589,229,57,45,91,1745,106,13
2012-07-24,2440,435,58,38,50,3588,108,23
2012-07-25,2259,367,60,48,41,2934,133,25
2012-07-26,2607,397,99,39,79,2255,127,10
2012-07-27,2910,396,92,92,144,4856,154,37
2012-07-28,2437,349,44,55,85,2706,108,10
2012-07-29,2078,235,67,51,109,3006,65,11
2012-07-30,1383,130,50,102,119,3289,39,6
2012-07-31,3267,392,143,58,143,3187,162,10
2012-08-01,2140,233,105,39,135,2268,117,15
2012-08-02,2310,357,81,59,55,4406,120,16
2012-08-03,2489,313,54,93,344,1907,40,18
2012-08-04,2130,314,67,86,60,4860,90,18
2012-08-05,1735,243,50,67,40,2135,76,8
2012-08-06,2609,346,113,73,168,4509,92,28
2012-08-07,2401,325,101,56,232,2925,131,21
2012-08-08,1741,254,58,54,91,3038,84,16
2012-08-09,2604,333,121,59,230,3377,166,12
2012-08-10,2080,323,78,47,88,4108,140,12
2012-08-11,1798,294,61,45,60,3742,174,13
2012-08-12,1449,238,45,42,52,3634,123,11
2012-08-13,1968,246,76,68,25,4643,99,18
2012-08-14,1520,227,61,38,10,2066,116,12
2012-08-15,1739,165,20,38,55,1576,78,5
2012-08-16,2071,324,67,49,80,6460,157,9
2012-08-17,2923,410,102,86,160,7097,147,22
2012-08-18,1562,178,62,81,52,2685,88,12
2012-08-19,1866,291,63,44,17,3091,123,20
2012-08-20,1615,204,73,49,113,1987,91,16
2012-08-21,1765,224,84,37,28,2545,65,7
2012-08-22,2076,268,84,37,103,3525,20,13
2012-08-23,1552,211,67,35,87,4004,31,6
2012-08-24,1660,207,45,48,45,751,121,9
2012-08-25,2148,277,96,56,90,4432,108,20
2012-08-26,1679,228,49,101,54,4826,110,13
2012-08-27,1590,245,46,57,20,3969,84,11
2012-08-28,1858,222,85,70,122,3601,61,20
2012-08-29,2046,280,71,79,65,6373,117,22
2012-08-30,1582,231,60,40,35,3708,114,13
2012-08-31,2235,297,32,46,25,4531,111,14
2012-09-01,1758,266,49,57,20,5527,50,17
2012-09-02,1993,271,63,78,57,5030,67,15
2012-09-03,2344,249,32,42,60,2757,72,13
2012-09-04,2320,380,66,69,48,4727,118,24
2012-09-05,1778,276,52,64,25,4157,98,14
2012-09-06,1908,287,61,63,47,3525,51,12
2012-09-07,2901,270,133,46,335,3777,152,11
2012-09-08,1489,220,39,53,43,1959,75,10
2012-09-09,1873,268,58,62,40,2563,90,13
2012-09-10,1442,224,44,49,25,4051,94,15
2012-09-11,1825,182,44,24,8,1354,36,7
2012-09-12,1868,291,51,71,35,4430,105,14
2012-09-13,1880,244,60,106,86,3880,92,13
2012-09-14,1770,250,65,55,63,4023,31,13
2012-09-15,1540,212,50,67,60,2598,52,12
2012-09-16,1668,178,51,65,95,4064,71,12
2012-09-17,1513,255,36,56,60,4194,92,17
2012-09-18,1827,238,90,56,191,3219,112,21
2012-09-19,1789,268,60,60,53,5067,107,15
2012-09-20,1623,242,54,49,15,4009,58,12
2012-09-21,2070,356,52,36,15,1703,147,6
2012-09-22,1770,252,69,43,34,4773,127,14
2012-09-23,1860,174,86,88,0,3705,42,4
2012-09-24,1702,254,52,58,60,2610,68,15
2012-09-25,1684,263,55,52,51,2821,103,23
2012-09-26,1998,304,64,70,134,2759,127,33
2012-09-27,1558,217,53,62,55,4244,57,13
2012-09-28,1730,185,68,71,55,1180,76,20
2012-09-29,1498,241,40,60,55,4101,86,20
2012-09-30,1738,251,50,77,35,6982,73,24
