Date,Calories
5/2/2018,2087
5/3/2018,2529
5/4/2018,2669
5/5/2018,2807
5/6/2018,2311
5/7/2018,2199
5/8/2018,1847
5/9/2018,1864
5/10/2018,1804
5/11/2018,1923
5/12/2018,1936
5/13/2018,1779
5/14/2018,1949
5/15/2018,1650
5/16/2018,2131
5/17/2018,1945
5/18/2018,2366
5/19/2018,1888
5/20/2018,1789
5/21/2018,2163
5/22/2018,1833
5/23/2018,1944
5/24/2018,2025
5/25/2018,1936
5/26/2018,2432
5/27/2018,1907
5/28/2018,1774
5/29/2018,1790
5/30/2018,2059
5/31/2018,1770
6/1/2018,2047
6/2/2018,1675
6/3/2018,2370
6/4/2018,2383
6/5/2018,3462
6/6/2018,2236
6/7/2018,1510
6/8/2018,1902
6/9/2018,2215
6/10/2018,2389
6/11/2018,1944
6/12/2018,1625
6/13/2018,1912
6/14/2018,1825
6/15/2018,1902
6/16/2018,1838
6/17/2018,1949
6/18/2018,1906
6/19/2018,1892
6/20/2018,2154
6/21/2018,1767
6/22/2018,1795
6/23/2018,1860
6/24/2018,1717
6/25/2018,2016
6/26/2018,1972
6/27/2018,2062
6/28/2018,2407
6/29/2018,2400
6/30/2018,2522
7/1/2018,3025
7/2/2018,2876
7/3/2018,3089
7/4/2018,3316
7/5/2018,1515
7/6/2018,1984
7/7/2018,1867
7/8/2018,2490
7/9/2018,1719
7/10/2018,2437
7/11/2018,1790
7/12/2018,2496
7/13/2018,1870
7/14/2018,1860
7/15/2018,1685
7/16/2018,3496
7/17/2018,1285
7/18/2018,1357
7/19/2018,1461
7/20/2018,1430
7/21/2018,1695
7/22/2018,1624
7/23/2018,1730
7/24/2018,1812
7/25/2018,1610
7/26/2018,1635
7/27/2018,1689
7/28/2018,1491
7/29/2018,1610
7/30/2018,2026
7/31/2018,2142
8/1/2018,1930
8/2/2018,1978
8/3/2018,2203
8/4/2018,2020
8/5/2018,1997
8/6/2018,2982
8/7/2018,2217
8/8/2018,2870
8/9/2018,2830
8/10/2018,3134
8/11/2018,2999
8/12/2018,1834
8/13/2018,2104
8/14/2018,2857
8/15/2018,2120
8/16/2018,2143
8/17/2018,2090
8/18/2018,1773
8/19/2018,2081
8/20/2018,3195
8/21/2018,1864
8/22/2018,2689
8/23/2018,1860
8/24/2018,2652
8/25/2018,1704
8/26/2018,1978
8/27/2018,1915
8/28/2018,1915
8/29/2018,2329
8/30/2018,2431
8/31/2018,3075
9/1/2018,2878
9/2/2018,2504
9/3/2018,1894
9/4/2018,1902
9/5/2018,2211
9/6/2018,1942
9/7/2018,2072
9/8/2018,2045
9/9/2018,1791
9/10/2018,1863
9/11/2018,2425
9/12/2018,1797
9/13/2018,2070
9/14/2018,2028
9/15/2018,2118
9/16/2018,2055
9/17/2018,1995
9/18/2018,2581
9/19/2018,2440
9/20/2018,2066
9/21/2018,2989
9/22/2018,2790
9/23/2018,2515
9/24/2018,1778
9/25/2018,1916
9/26/2018,2020
9/27/2018,2005
9/28/2018,2332
9/29/2018,2342
9/30/2018,2399
10/1/2018,2287
10/2/2018,2139
10/3/2018,2215
10/4/2018,2305
10/5/2018,2470
10/6/2018,3380
10/7/2018,3264
10/8/2018,1950
10/9/2018,1610
10/10/2018,1850
10/11/2018,2322
10/12/2018,1989
10/13/2018,1201
10/14/2018,2601
10/15/2018,1760
10/16/2018,2564
10/17/2018,1490
10/18/2018,1672
10/19/2018,2188
10/20/2018,1585
10/21/2018,3987
10/22/2018,1135
10/23/2018,1949
10/24/2018,1956
10/25/2018,2408
10/26/2018,1627
10/27/2018,2301
10/28/2018,2692
10/29/2018,1687
10/30/2018,2133
10/31/2018,2144
11/1/2018,2515
11/2/2018,2533
11/3/2018,2097
11/4/2018,1473
11/5/2018,1585
11/6/2018,1850
11/7/2018,1648
11/8/2018,1549
11/9/2018,1704
11/10/2018,1945
11/11/2018,1587
11/12/2018,1713
11/13/2018,1708
11/14/2018,1627
11/15/2018,1940
11/16/2018,1912
11/17/2018,1939
11/18/2018,2013
11/19/2018,1906
11/20/2018,2341
11/21/2018,2317
11/22/2018,2243
11/23/2018,3496
11/24/2018,1183
11/25/2018,1629
11/26/2018,2174
11/27/2018,2028
11/28/2018,1785
11/29/2018,1912
11/30/2018,1693
12/1/2018,1973
12/2/2018,2312
12/3/2018,2154
12/4/2018,2331
12/5/2018,2401
12/6/2018,2326
12/7/2018,2969
12/8/2018,1316
12/9/2018,1928
12/10/2018,2085
12/11/2018,3642
12/12/2018,1371
12/13/2018,1727
12/14/2018,1809
12/15/2018,1753
12/16/2018,1900
12/17/2018,2088
12/18/2018,2005
12/19/2018,1953
12/20/2018,2091
12/21/2018,1993
12/22/2018,2671
12/23/2018,2939
12/24/2018,1720
12/25/2018,2469
12/26/2018,1774
12/27/2018,2038
12/28/2018,2047
12/29/2018,4333
12/30/2018,1013
12/31/2018,2108
1/1/2019,1110
1/2/2019,2050
1/3/2019,1093
1/4/2019,2314
1/5/2019,2294
1/6/2019,1195
1/7/2019,2022
1/8/2019,1171
1/9/2019,2260
1/10/2019,1115
1/11/2019,2320
1/12/2019,1300
1/13/2019,3001
1/14/2019,2415
1/15/2019,2072
1/16/2019,2884
1/17/2019,1613
1/18/2019,1652
1/19/2019,2018
1/20/2019,2246
1/21/2019,2070
1/22/2019,1623
1/23/2019,1770
1/24/2019,2314
1/25/2019,1780
1/26/2019,1925
1/27/2019,2473
1/28/2019,1712
1/29/2019,2221
1/30/2019,1670
1/31/2019,1559
2/1/2019,1702
2/2/2019,2413
2/3/2019,2276
2/4/2019,1896
2/5/2019,1985
2/6/2019,1780
2/7/2019,2120
2/8/2019,1874
2/9/2019,2387
2/10/2019,4261
2/11/2019,2449
2/12/2019,2100
2/13/2019,1970
2/14/2019,1870
2/15/2019,1975
2/16/2019,1766
2/17/2019,2553
2/18/2019,1619
2/19/2019,1769
2/20/2019,1988
2/21/2019,1726
2/22/2019,2082
2/23/2019,2005
2/24/2019,2467
2/25/2019,2004
2/26/2019,2081
2/27/2019,1492
2/28/2019,1930
3/1/2019,1713
3/2/2019,2225
3/3/2019,1613
3/4/2019,1978
3/5/2019,1780
3/6/2019,1889
3/7/2019,1770
3/8/2019,2817
3/9/2019,2510
3/10/2019,2304
3/11/2019,1853
3/12/2019,1845
3/13/2019,1933
3/14/2019,1655
3/15/2019,1806
3/16/2019,1795
3/17/2019,1760
3/18/2019,2052
3/19/2019,1830
3/20/2019,1795
3/21/2019,1870
3/22/2019,2446
3/23/2019,1898
3/24/2019,1625
3/25/2019,1544
3/26/2019,1635
3/27/2019,2440
3/28/2019,2100
3/29/2019,2302
3/30/2019,2170
3/31/2019,1722
4/1/2019,2173
4/2/2019,1865
4/3/2019,1957
4/4/2019,2061
4/5/2019,2625
4/6/2019,2030
4/7/2019,2091
4/8/2019,2214
4/9/2019,2140
4/10/2019,2552
4/11/2019,2144
4/12/2019,2056
4/13/2019,2045
4/14/2019,3193
4/15/2019,2008
4/16/2019,1773
4/17/2019,1918
4/18/2019,1851
4/19/2019,2166
4/20/2019,2471
4/21/2019,2177
4/22/2019,1595
4/23/2019,1735
4/24/2019,2298
4/25/2019,1867
4/26/2019,2185
4/27/2019,3469
4/28/2019,2393
4/29/2019,1201
4/30/2019,1255
5/1/2019,1377
5/2/2019,1316
5/3/2019,1422
5/4/2019,1340
5/5/2019,1280
5/6/2019,1451
5/7/2019,1589
5/8/2019,1578
5/9/2019,1462
5/10/2019,1592
5/11/2019,1586
5/12/2019,1408
5/13/2019,1579
5/14/2019,2072
5/15/2019,3093
5/16/2019,1926
5/17/2019,2260
5/18/2019,3212
5/19/2019,1759
5/20/2019,1608
5/21/2019,2317
5/22/2019,2241
5/23/2019,1610
5/24/2019,2022
5/25/2019,1743
5/26/2019,2027
5/27/2019,2024
5/28/2019,1971
5/29/2019,2144
5/30/2019,2129
5/31/2019,2367
6/1/2019,2830
6/2/2019,2057
6/3/2019,2156
6/4/2019,2684
6/5/2019,1843
6/6/2019,2933
6/7/2019,2201
6/8/2019,1987
6/9/2019,2331
6/10/2019,3576
6/11/2019,1868
6/12/2019,2675
6/13/2019,2623
6/14/2019,2600
6/15/2019,3470
6/16/2019,2606
6/17/2019,2201
6/18/2019,2695
6/19/2019,2886
6/20/2019,1627
6/21/2019,2700
6/22/2019,2997
6/23/2019,2214
6/24/2019,1964
6/25/2019,2458
6/26/2019,2908
6/27/2019,3360
6/28/2019,2929
6/29/2019,3342
6/30/2019,1430
7/1/2019,1166
7/2/2019,1230
7/3/2019,1217
7/4/2019,1198
7/5/2019,1312
7/6/2019,1328
7/7/2019,1352
7/8/2019,1468
7/9/2019,1328
7/10/2019,1542
7/11/2019,1375
7/12/2019,1940
7/13/2019,1778
7/14/2019,1552
7/15/2019,2032
7/16/2019,1544
7/17/2019,1936
7/18/2019,2004
7/19/2019,1477
7/20/2019,1882
7/21/2019,1686
7/22/2019,1569
7/23/2019,1598
7/24/2019,1553
7/25/2019,1789
7/26/2019,1714
7/27/2019,2160
7/28/2019,1505
7/29/2019,1678
7/30/2019,2481
7/31/2019,1390
8/1/2019,1567
8/2/2019,2545
8/3/2019,2330
8/4/2019,3180
8/5/2019,2085
8/6/2019,2135
8/7/2019,1551
8/8/2019,2496
8/9/2019,3265
8/10/2019,2625
8/11/2019,2825
8/12/2019,1608
8/13/2019,2199
8/14/2019,1760
8/15/2019,1854
8/16/2019,2161
8/17/2019,1743
8/18/2019,1267
8/19/2019,1479
8/20/2019,2148
8/21/2019,2296
8/22/2019,2742
8/23/2019,1573
8/24/2019,1595
8/25/2019,1473
8/26/2019,1979
8/27/2019,2495
8/28/2019,2719
8/29/2019,1900
8/30/2019,1570
8/31/2019,2831
9/1/2019,1882
9/2/2019,2310
9/3/2019,1720
9/4/2019,2956
9/5/2019,1961
9/6/2019,1795
9/7/2019,1569
9/8/2019,1700
9/9/2019,1563
9/10/2019,1650
9/11/2019,1554
9/12/2019,1574
9/13/2019,1723
9/14/2019,1481
9/15/2019,1488
9/16/2019,2145
9/17/2019,1752
9/18/2019,2094
9/19/2019,1470
9/20/2019,2059
9/21/2019,2107
9/22/2019,1757
9/23/2019,1748
9/24/2019,2053
9/25/2019,1644
9/26/2019,1474
9/27/2019,1675
9/28/2019,1562
9/29/2019,1560
9/30/2019,1911
10/1/2019,2070
10/2/2019,2002
10/3/2019,2510
