analysis,cutoff_hour,cutoff_hhmm,target,target_label,early_n,late_n,early_mean,late_mean,diff_early_minus_late,raw_r,raw_n,partial_r,partial_n
cutoff_sweep,26.166666666666668,02:10,tdee,Same-day TDEE,966,1067,2227.426501035197,2213.9156513589505,13.51084967624638,0.040670663433679755,2033,0.01630947712857948,2033
cutoff_sweep,26.166666666666668,02:10,cal_next,Next-day calories,966,1066,2205.210144927536,2199.97373358349,5.236411344046246,0.005346758935692334,2032,0.01441593349196079,2032
cutoff_sweep,26.166666666666668,02:10,steps_next,Next-day steps,975,1081,3789.9733333333334,3622.4616096207214,167.5117237126119,0.025247224159804897,2056,0.03078559232556251,2033
cutoff_sweep,26.166666666666668,02:10,weight_change,Weight change,447,513,0.011409395973154095,-0.14015594541910303,0.15156534139225714,0.07044271937605417,960,0.06859009273130838,958
cutoff_sweep,26.166666666666668,02:10,sleep_hours,Sleep duration,975,1082,8.375405128205127,7.30239371534196,1.073011412863167,0.35055848871181194,2057,0.275919334015482,2033
cutoff_sweep,26.333333333333332,02:20,calories,Same-day calories,1054,979,2232.100569259962,2169.8784473953015,62.222121864660494,0.0635540809448715,2033,0.04569103312906724,2033
cutoff_sweep,26.333333333333332,02:20,surplus,Same-day surplus,1054,979,5.475332068311196,-43.68539325842696,49.16072532673816,0.05068292934047205,2033,0.041239142029591606,2033
cutoff_sweep,26.333333333333332,02:20,steps,Same-day steps,1063,994,3752.3904045155223,3645.4144869215293,106.97591759399302,0.016137441222524706,2057,0.05710482462061011,2033
cutoff_sweep,26.333333333333332,02:20,tdee,Same-day TDEE,1054,979,2226.6252371916507,2213.563840653728,13.06139653792252,0.03933952283592129,2033,0.013160571890093974,2033
cutoff_sweep,26.333333333333332,02:20,cal_next,Next-day calories,1054,978,2204.2865275142317,2200.497955010225,3.788572504006879,0.003870392586514374,2032,0.013307889344878645,2032
cutoff_sweep,26.333333333333332,02:20,steps_next,Next-day steps,1063,993,3790.277516462841,3607.2910372608258,182.9864792020153,0.02760028274702397,2056,0.034689792657626894,2033
cutoff_sweep,26.333333333333332,02:20,weight_change,Weight change,489,471,-0.0032719836400821947,-0.13842887473460677,0.13515689109452458,0.06295450936056664,960,0.062261013122152875,958
cutoff_sweep,26.333333333333332,02:20,sleep_hours,Sleep duration,1063,994,8.33456255879586,7.2510764587525145,1.083486100043345,0.35426102678897664,2057,0.28179943353919484,2033
cutoff_sweep,26.5,02:30,calories,Same-day calories,1140,893,2231.742105263158,2164.3437849944007,67.39832026875729,0.0683776549645494,2033,0.05368171678007257,2033
cutoff_sweep,26.5,02:30,surplus,Same-day surplus,1140,893,2.444736842105263,-44.55095184770437,46.99568868980963,0.04812469035086651,2033,0.041750223783840565,2033
cutoff_sweep,26.5,02:30,steps,Same-day steps,1149,908,3731.9677980852916,3661.125550660793,70.84224742449851,0.010619011660042688,2057,0.04886190823480834,2033
cutoff_sweep,26.5,02:30,tdee,Same-day TDEE,1140,893,2229.297368421053,2208.8947368421054,20.40263157894742,0.061036857308377206,2033,0.03742250403489692,2033
cutoff_sweep,26.5,02:30,cal_next,Next-day calories,1140,892,2205.9657894736843,2197.986547085202,7.979242388482362,0.008096292581403238,2032,0.018530479610485633,2032
cutoff_sweep,26.5,02:30,steps_next,Next-day steps,1149,907,3726.551784160139,3670.6692392502755,55.882544909863554,0.008375159897001456,2056,0.015492308204005711,2033
cutoff_sweep,26.5,02:30,weight_change,Weight change,536,424,-0.026119402985074893,-0.12452830188679208,0.09840889890171718,0.045532706157649074,960,0.04475857734810039,958
cutoff_sweep,26.5,02:30,sleep_hours,Sleep duration,1149,908,8.283202785030461,7.213447136563876,1.069755648466585,0.3475583568440939,2057,0.2767853006060727,2033
cutoff_sweep,26.666666666666668,02:40,calories,Same-day calories,1232,801,2229.2126623376626,2160.493133583021,68.71952875464149,0.06864181507997759,2033,0.05396552256784714,2033
cutoff_sweep,26.666666666666668,02:40,surplus,Same-day surplus,1232,801,-0.21266233766233766,-45.86142322097378,45.648760883311446,0.046023790063492206,2033,0.04205251131964338,2033
cutoff_sweep,26.666666666666668,02:40,steps,Same-day steps,1242,815,3702.1119162640903,3698.5398773006136,3.5720389634766434,0.0005274054561782978,2057,0.037165765842426216,2033
cutoff_sweep,26.666666666666668,02:40,tdee,Same-day TDEE,1232,801,2229.4253246753246,2206.354556803995,23.070767871329735,0.06795344571439003,2033,0.03735306043824359,2033
cutoff_sweep,26.666666666666668,02:40,cal_next,Next-day calories,1232,800,2211.815746753247,2188.06,23.755746753246967,0.023730599924499135,2032,0.034174768753400975,2032
cutoff_sweep,26.666666666666668,02:40,steps_next,Next-day steps,1242,814,3681.490338164251,3733.039312039312,-51.54897387506071,-0.007609327892971252,2056,-0.001605211815383753,2033
cutoff_sweep,26.666666666666668,02:40,weight_change,Weight change,579,381,-0.021243523316062392,-0.1430446194225718,0.12180109610650941,0.05552348703694018,960,0.05946517782954296,958
cutoff_sweep,26.666666666666668,02:40,sleep_hours,Sleep duration,1242,815,8.23243156199678,7.16874846625767,1.0636830957391101,0.3404019726042111,2057,0.26850441367722316,2033
cutoff_sweep,26.833333333333332,02:50,calories,Same-day calories,1324,709,2222.8874622356498,2163.387870239774,59.49959199587556,0.05796529789727099,2033,0.04460840001959701,2033
cutoff_sweep,26.833333333333332,02:50,surplus,Same-day surplus,1324,709,-3.5022658610271904,-45.64174894217207,42.13948308114488,0.04143697933507312,2033,0.03930395612396606,2033
cutoff_sweep,26.833333333333332,02:50,steps,Same-day steps,1335,722,3682.342322097378,3734.6343490304707,-52.29202693309253,-0.0075341374048810365,2057,0.02676054721987293,2033
cutoff_sweep,26.833333333333332,02:50,tdee,Same-day TDEE,1324,709,2226.3897280966767,2209.0296191819466,17.360108914730063,0.04987091972623665,2033,0.015988381559214993,2033
