sp_params,baseline,m0,a,b,c,rmse,corr,mean_m,frac_high,frac_low,score,trial_mean_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
"tol=2.5,hold=7,rate=0.001",0,0.0,0.005,0.005,0,2072.2345920250546,-0.13534000947514668,0.9039765443397475,0.8967339097022095,0.0893371757925072,-2.992532727582597,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.1,0.005,0.005,0,2072.2345920250546,-0.13534000947514668,0.9040245750794208,0.8967339097022095,0.0893371757925072,-2.992556742952434,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.2,0.005,0.005,0,2072.2345920250546,-0.13534000947514668,0.9040726058190943,0.8967339097022095,0.0888568683957733,-2.9925807583222706,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=2.5,hold=7,rate=0.001",0,0.3,0.005,0.005,0,2072.2345920250546,-0.13534000947514668,0.9041206365587677,0.8967339097022095,0.0888568683957733,-2.992604773692107,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.0,0.001,0.0005,100,2069.283149277301,-0.13003261152831247,0.904765773246827,0.8645533141210374,0.05523535062439962,-2.9926295982618005,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.1,0.001,0.0005,100,2069.2831532712785,-0.13003262394943835,0.9048143173440748,0.8645533141210374,0.05523535062439962,-2.9926538680938384,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.2,0.001,0.0005,100,2069.283157265308,-0.13003263637055132,0.9048628614413226,0.8645533141210374,0.05475504322766571,-2.9926781379259357,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=7,rate=0.001",0,0.3,0.001,0.0005,100,2069.2831612593905,-0.13003264879165152,0.9049114055385703,0.8645533141210374,0.05475504322766571,-2.992702407758092,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=14,rate=0.001",-100,0.0,0.005,0.002,0,2071.904545261924,-0.1378995828904267,0.9071844748830228,0.8938520653218059,0.0787704130643612,-2.992831454594668,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=14,rate=0.001",-100,0.1,0.005,0.002,0,2071.904545261924,-0.1378995828904267,0.9072325056226962,0.8938520653218059,0.0787704130643612,-2.9928554699645047,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=7,rate=0.001",0,0.0,0.005,0.002,50,2070.0070129079304,-0.13446214241170382,0.9082190671915276,0.8948126801152738,0.0787704130643612,-2.9928653434230847,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
"tol=3.0,hold=14,rate=0.001",-100,0.2,0.005,0.002,0,2071.904545261924,-0.1378995828904267,0.9072805363623695,0.8938520653218059,0.07829010566762729,-2.9928794853343414,8.266055791705574,17.33621822143949,9.616114285031365,6.292426821437977
"tol=3.0,hold=7,rate=0.001",0,0.1,0.005,0.002,50,2070.0070129079304,-0.13446214241170382,0.9082670979312009,0.8948126801152738,0.0787704130643612,-2.9928893587929215,8.262248351565525,17.331919848502412,9.614995363371046,6.289442658740037
