date,fat_mass_lbs_filtered,fat_mass_std_filtered,tdee_filtered,tdee_std_filtered,fat_mass_lbs,fat_mass_std,tdee,tdee_std,innovation
2015-07-03,36.71,0.53,2201.0,116.0,36.54,0.42,2180.0,78.0,0.582
2015-07-04,36.43,0.48,2215.0,115.0,36.41,0.42,2181.0,78.0,-0.626
2015-07-05,36.34,0.49,2216.0,116.0,36.33,0.42,2181.0,77.0,
2015-07-06,36.33,0.51,2218.0,117.0,36.33,0.43,2181.0,76.0,
2015-07-07,36.16,0.53,2219.0,118.0,36.17,0.43,2181.0,76.0,
2015-07-08,35.95,0.55,2221.0,119.0,35.97,0.44,2181.0,75.0,
2015-07-09,35.76,0.57,2222.0,120.0,35.79,0.44,2181.0,74.0,
2015-07-10,35.82,0.59,2223.0,121.0,35.86,0.45,2181.0,74.0,
2015-07-11,35.82,0.61,2225.0,122.0,35.88,0.45,2181.0,73.0,
2015-07-12,35.83,0.63,2226.0,122.0,35.89,0.46,2180.0,72.0,
2015-07-13,35.83,0.66,2227.0,123.0,35.91,0.46,2180.0,72.0,
2015-07-14,35.86,0.68,2229.0,124.0,35.95,0.47,2179.0,71.0,
2015-07-15,35.69,0.71,2230.0,125.0,35.79,0.47,2179.0,70.0,
2015-07-16,35.59,0.74,2231.0,126.0,35.7,0.48,2178.0,70.0,
2015-07-17,35.43,0.76,2233.0,126.0,35.56,0.48,2178.0,69.0,
2015-07-18,35.37,0.79,2234.0,127.0,35.52,0.49,2177.0,68.0,
2015-07-19,35.79,0.82,2235.0,128.0,35.95,0.49,2176.0,68.0,
2015-07-20,35.77,0.84,2236.0,128.0,35.94,0.49,2175.0,67.0,
2015-07-21,35.6,0.87,2237.0,129.0,35.8,0.5,2175.0,67.0,
2015-07-22,35.75,0.9,2239.0,130.0,35.96,0.5,2174.0,66.0,
2015-07-23,35.79,0.93,2240.0,130.0,36.02,0.51,2173.0,66.0,
2015-07-24,35.77,0.96,2241.0,131.0,36.01,0.51,2171.0,66.0,
2015-07-25,35.81,0.99,2242.0,132.0,36.08,0.51,2170.0,65.0,
2015-07-26,35.61,1.02,2243.0,132.0,35.9,0.51,2169.0,65.0,
2015-07-27,35.44,1.05,2244.0,133.0,35.74,0.51,2168.0,65.0,
2015-07-28,35.28,1.08,2245.0,133.0,35.6,0.52,2166.0,64.0,
2015-07-29,35.32,1.11,2247.0,134.0,35.67,0.52,2165.0,64.0,
2015-07-30,35.36,1.14,2248.0,134.0,35.74,0.52,2163.0,64.0,
2015-07-31,35.32,1.17,2249.0,135.0,35.71,0.52,2162.0,64.0,
2015-08-01,35.55,1.2,2250.0,135.0,35.96,0.52,2160.0,64.0,
2015-08-02,36.11,1.23,2251.0,136.0,36.56,0.52,2158.0,64.0,
2015-08-03,36.09,1.27,2252.0,136.0,36.55,0.51,2156.0,64.0,
2015-08-04,36.06,1.3,2253.0,137.0,36.55,0.51,2155.0,64.0,
2015-08-05,36.09,1.33,2254.0,137.0,36.61,0.51,2153.0,64.0,
2015-08-06,36.03,1.36,2255.0,138.0,36.58,0.51,2151.0,65.0,
2015-08-07,36.13,1.39,2256.0,138.0,36.71,0.51,2149.0,65.0,
2015-08-08,36.16,1.42,2257.0,139.0,36.77,0.5,2146.0,65.0,
2015-08-09,36.25,1.46,2258.0,139.0,36.89,0.5,2144.0,65.0,
2015-08-10,36.27,1.49,2259.0,140.0,36.95,0.49,2142.0,66.0,
2015-08-11,36.36,1.52,2260.0,140.0,37.06,0.49,2139.0,66.0,
2015-08-12,36.85,1.55,2261.0,140.0,37.59,0.49,2137.0,66.0,
2015-08-13,36.87,1.58,2262.0,141.0,37.64,0.48,2135.0,67.0,
2015-08-14,36.97,1.62,2263.0,141.0,37.78,0.48,2132.0,67.0,
2015-08-15,36.92,1.65,2263.0,141.0,37.77,0.47,2129.0,67.0,
