date,fm,sp,surplus,pressure,required_control,control_stock,control_exerted,control_shortfall,surplus_30,required_30,stock_30,shortfall_30
2011-08-15,73.23,83.24173700533288,-1002.0,550.6455352933082,1052.645535293308,165.70460344425902,165.70460344425902,886.9409318490491,-840.4333333333333,906.8793611957091,144.87821055920443,768.5017898679372
2011-08-16,72.95,83.00667340726464,-57.0,553.1170373995552,110.11703739955522,159.24959068652203,110.11703739955522,0.0,-805.5333333333333,871.8470547260175,145.6384654157993,734.3469803178832
2011-08-17,72.93,82.77652186856493,-1245.0,541.5587027710707,1286.5587027710708,164.04119139288053,164.04119139288053,1122.5175113781902,-813.9666666666667,879.6136654909649,146.55901455918973,741.1930419394399
2011-08-18,72.58,82.543632987226,-725.0,547.9998142974304,772.9998142974304,157.95212928644682,157.95212928644682,615.0476850109835,-819.9666666666667,885.0875730830356,147.27704289103428,745.9489211996661
2011-08-19,72.37,82.31126688865936,-1243.0,546.7696788762646,1289.7696788762646,153.2026608434285,153.2026608434285,1136.5670180328361,-826.2333333333333,890.9297363060829,147.837104989873,751.2310223238746
2011-08-20,72.01,82.07598562775513,-832.0,553.6292095265319,885.6292095265319,149.49807545787425,149.49807545787425,736.1311340686576,-821.8333333333334,886.2224161310435,148.27395342696727,746.0868537117408
2011-08-21,71.77,81.840596590701,-1039.0,553.882812488555,1092.882812488555,146.6084988571419,146.6084988571419,946.274313631413,-847.8333333333334,911.8683713602387,148.61469520790075,771.3920671600026
2011-08-22,71.47,81.60373183721369,-1054.0,557.3552510467529,1111.355251046753,144.3546291085707,144.3546291085707,967.0006219381823,-844.9,908.98320083711,148.88047379702888,768.2411180477459
2011-08-23,71.16,81.36519667238746,-597.0,561.2858169813102,658.2858169813102,142.59661070468513,142.59661070468513,515.6892062766251,-826.9,891.0123490077879,149.0877810965488,750.0629589189037
2011-08-24,70.99,81.12822685288921,-1011.0,557.602476908907,1068.602476908907,141.22535634965442,141.22535634965442,927.3771205592525,-822.2333333333333,886.1054457753415,149.24948079017437,744.9943559928319
2011-08-25,70.69,80.88981742207872,-1048.0,560.9899582143298,1108.9899582143298,140.15577795273043,140.15577795273043,968.8341802615994,-821.9,885.5015336881314,149.37560655120225,744.264318144594
2011-08-26,70.39,80.65000126072378,-913.0,564.300069339808,977.300069339808,139.32150680312972,139.32150680312972,837.9785625366783,-834.6666666666666,898.0038016282008,149.47398464480406,756.6682079910616
2011-08-27,70.12,80.40949569954142,28.0,565.922263474778,37.92226347477799,138.6707753064412,37.92226347477799,0.0,-833.3333333333334,896.6449982360085,149.55071955781347,756.6682079910616
2011-08-28,70.12,80.1744832929682,-1150.0,552.9965811132511,1202.996581113251,178.31290710535677,178.31290710535677,1024.6836740078943,-852.6333333333333,915.9201099140979,149.89768045100112,775.5963587759633
2011-08-29,69.79,79.93730136676277,-960.0,558.1015751719518,1018.1015751719518,169.08406754217827,169.08406754217827,849.0175076297735,-862.2,925.7849194984952,150.16830994768753,785.1905388636741
2011-08-30,69.51,79.69914147440028,-811.0,560.4027810920151,871.4027810920151,161.88557268289907,161.88557268289907,709.5172084091159,-851.6666666666666,915.7041508840323,150.37940095510288,774.8986792417959
