date,start_time,duration_min,distance_m,kph,hr_mean,hr_median,hr_max,hr_samples,hr_resid_all,hr_resid_2021p,datauuid
2022-08-26,2022-08-26 19:55:02.115000,34.98,3097.6,5.313,108.04,108.00,119,1904,-12.93,-4.75,865aad8e-d134-4b48-8695-b862f85d6984
2022-08-26,2022-08-26 20:38:11.328000,31.10,2518.3,4.858,111.41,111.00,127,1658,-6.42,1.30,cd6c3e21-9fb8-4a36-a45a-14419dd18338
2022-08-27,2022-08-27 20:45:13.608000,31.85,2406.4,4.533,106.56,108.00,121,1664,-9.03,-1.63,823f15e9-7c0b-4ec5-b6f2-2a5f1ca09d6c
2022-08-31,2022-08-31 19:47:50.303000,40.51,3037.8,4.500,108.02,108.00,123,2173,-7.34,0.02,bbc83027-386f-432f-b62e-0058c549606a
2022-09-01,2022-09-01 18:10:41.442000,32.53,2716.1,5.010,108.38,109.00,120,1774,-10.51,-2.63,d752d9c7-4499-49cf-934f-25ccc62e5854
2022-09-01,2022-09-01 18:50:43.484000,46.12,3570.0,4.645,108.54,107.00,125,2421,-7.83,-0.32,c537547d-34fe-4350-b63e-06daea87c741
2022-09-16,2022-09-16 21:53:54.816000,32.69,2780.4,5.103,102.92,103.00,114,1920,-16.60,-8.63,3aa1f42e-50be-434f-8c4e-eee9797a9f65
2022-09-16,2022-09-16 22:34:46.599000,32.83,2809.4,5.134,109.90,110.00,122,1797,-9.84,-1.84,065a5b4d-8ebe-4818-9898-03c9359741c9
2022-10-07,2022-10-07 19:55:11.278000,32.66,2942.4,5.406,111.14,112.00,136,1823,-10.48,-2.20,81dac112-7b8e-4e4f-91a1-fa6739b236ff
2023-01-01,2023-01-01 20:21:26.266000,34.69,2883.4,4.987,108.63,110.00,116,1889,-10.09,-2.24,b631458d-b65d-48b3-a77f-94910160247c
2023-01-04,2023-01-04 21:01:55.082000,32.99,2867.8,5.215,118.01,118.00,135,1577,-2.29,5.79,bc122701-ca0c-413c-bbab-f37431359f67
2023-03-24,2023-03-24 18:22:01.274000,33.10,2858.9,5.182,118.01,120.00,131,1780,-2.06,5.99,6630b8e0-db0d-458f-ac63-cbaeaf59fa5f
2023-03-27,2023-03-27 22:37:36.707000,29.27,2571.7,5.272,127.08,129.00,145,1520,6.39,14.53,d88c38e2-5736-4607-9a9d-0ddeb5067ae7
2023-04-05,2023-04-05 22:20:43.065000,54.30,4647.7,5.136,112.54,113.00,126,2864,-7.22,0.79,60852f60-04c1-4395-80ae-6cd8cd28d30e
2023-04-06,2023-04-06 18:56:05.398000,17.14,1046.0,3.663,101.88,102.00,107,877,-7.70,-1.18,075f6c95-a8d2-4a32-ab6a-0dad14f5fbe2
2023-04-20,2023-04-20 19:37:25.493000,52.20,4635.3,5.328,119.51,120.00,136,2839,-1.57,6.63,871b11ba-2df4-489b-b006-a35da0648e4c
2023-04-22,2023-04-22 22:34:24.568000,34.90,2568.6,4.415,110.82,113.00,125,1930,-3.96,3.31,8f2180cd-77b9-4d9e-8825-198f43967c3c
2023-05-05,2023-05-05 19:54:14.614000,32.92,2868.7,5.228,118.38,119.00,139,1764,-2.01,6.08,8d94eb7b-d504-4a98-b370-568b6fd1dbe2
2023-08-09,2023-08-09 23:14:16.233000,41.21,3039.6,4.425,105.66,106.00,119,2307,-9.19,-1.90,79bb1e8b-618e-452b-b74a-d5cb7be79487
2023-08-11,2023-08-11 16:02:25.115000,34.44,2428.3,4.230,95.21,95.00,109,2323,-18.29,-11.20,434ea6f2-624c-4de3-997f-d61fe73f4c08
