date,fm,surplus,sp,pressure,suppression,load,score,future_event
2013-04-03,21.61,-132.0,72.3475221523905,2790.5637183814774,2922.5637183814774,7685505.455917139,1.3642493808960139,1.0
2013-04-04,21.58,-665.0,72.29675463023811,2789.421504663096,3454.421504663096,7700468.509171616,1.3693055719982805,1.0
2013-04-05,21.39,-331.0,72.24584787560788,2797.0716331584335,3128.0716331584335,7708516.278129112,1.372025007470704,1.0
2013-04-06,21.3,685.0,72.19490202773227,2799.219611525275,2114.219611525275,7694780.606912435,1.3673835631472575,1.0
2013-04-07,21.5,-726.0,72.14420712570454,2785.43139191375,3511.43139191375,7710785.052828897,1.372791653037956,1.0
2013-04-08,21.29,-349.0,72.09335291857883,2794.1844105218356,3143.1844105218356,7719008.357639557,1.3755704041329202,1.0
2013-04-09,21.2,351.0,72.04245956566025,2796.3352761113138,2445.3352761113138,7712249.039979206,1.3732863514579468,1.0
2013-04-10,21.3,-527.0,71.9917171060946,2788.044440835203,3315.044440835203,7723989.140248734,1.377253468964846,1.0
2013-04-11,21.15,-567.0,71.9408753889885,2793.4981463943677,3360.4981463943677,7736752.032830198,1.3815661999838496,1.0
2013-04-12,20.99,808.0,71.88992451359951,2799.4958482479733,1991.4958482479733,7720168.369480084,1.37596238573232,1.0
2013-04-13,21.23,680.0,71.83926458908591,2783.509552399725,2103.509552399725,7705859.763419675,1.3711273400088257,1.0
2013-04-14,21.42,-359.0,71.78884532449683,2770.286492847326,3129.286492847326,7713249.1813052865,1.373624310936399,1.0
2013-04-15,21.32,-481.0,71.73837647917233,2773.0107063544783,3254.0107063544783,7723300.7788678575,1.377020863584785,1.0
2013-04-16,21.19,-108.0,71.68782810269316,2777.380545648124,2885.380545648124,7725529.50292462,1.3777739755702576,1.0
2013-04-17,21.16,-250.0,71.63730027459047,2776.2515151024763,3026.2515151024763,7730716.623345122,1.379526764367469,1.0
2013-04-18,21.09,-438.0,71.58675297431589,2777.3214135873736,3215.3214135873736,7739917.444191499,1.3826358295900418,1.0
2013-04-19,20.97,216.0,71.53613622134156,2781.137492173786,2565.137492173786,7735268.813398888,1.3810650027506541,1.0
2013-04-20,21.03,553.0,71.48563008512022,2775.0596546816123,2222.0596546816123,7723231.969361188,1.3769976120458474,1.0
2013-04-21,21.19,261.0,71.4353344550351,2763.493395026931,2502.493395026931,7717035.957378228,1.3749039069627351,1.0
2013-04-22,21.27,395.0,71.38516912058007,2756.334301631904,2361.334301631904,7707764.9768740395,1.3717711339693262,1.0
2013-04-23,21.39,48.0,71.3351739514595,2746.984567330272,2698.984567330272,7705511.725203567,1.3710097338156508,1.0
2013-04-24,21.4,-349.0,71.28523877750804,2743.6881327629426,3092.6881327629426,7711494.853053926,1.3730315028547775,1.0
2013-04-25,21.31,-606.0,71.23526353873054,2745.8894946301793,3351.8894946301793,7722944.804790108,1.3769005757709316,1.0
2013-04-26,21.14,-829.0,71.1851682751918,2752.484255135549,3581.484255135549,7739324.902037119,1.3824356026498752,1.0
2013-04-27,20.9,-678.0,71.1348831069166,2762.9185708804134,3440.9185708804134,7752886.430215054,1.3870182019991022,1.0
2013-04-28,20.71,-775.0,71.08445822380969,2770.595202309533,3545.595202309533,7768771.591070392,1.3923859840693025,1.0
2013-04-29,20.49,-205.0,71.03386376558588,2779.9125071072235,2984.9125071072235,7772830.291780469,1.3937574666182209,1.0
2013-04-30,20.44,671.0,70.9832699018203,2779.879844600116,2108.879844600116,7758173.61783578,1.3888048046763284,1.0
