date,fat_mass_lbs_filtered,fat_mass_std_filtered,tdee_filtered,tdee_std_filtered,fat_mass_lbs,fat_mass_std,tdee,tdee_std,innovation
2025-02-22,77.34,0.36,2203.0,73.0,76.92,0.21,2314.0,45.0,
2025-02-23,77.27,0.37,2204.0,74.0,76.82,0.21,2318.0,45.0,
2025-02-24,77.26,0.36,2199.0,73.0,76.73,0.21,2321.0,45.0,0.315
2025-02-25,77.12,0.36,2214.0,73.0,76.68,0.21,2323.0,45.0,-1.0
2025-02-26,77.12,0.35,2211.0,72.0,76.61,0.21,2326.0,45.0,0.218
2025-02-27,76.98,0.34,2209.0,72.0,76.41,0.21,2329.0,45.0,0.152
2025-02-28,76.79,0.34,2230.0,72.0,76.36,0.21,2331.0,45.0,-1.606
2025-03-01,76.63,0.34,2252.0,72.0,76.36,0.21,2334.0,45.0,-1.728
2025-03-02,76.65,0.35,2252.0,73.0,76.35,0.21,2336.0,45.0,
2025-03-03,76.69,0.35,2251.0,72.0,76.36,0.21,2338.0,46.0,0.04
2025-03-04,76.85,0.34,2247.0,72.0,76.46,0.21,2341.0,46.0,0.312
2025-03-05,76.79,0.34,2248.0,72.0,76.36,0.2,2343.0,46.0,-0.057
2025-03-06,76.61,0.33,2250.0,72.0,76.18,0.2,2345.0,46.0,-0.201
2025-03-07,76.47,0.33,2250.0,72.0,75.99,0.2,2347.0,46.0,0.052
2025-03-08,76.25,0.33,2262.0,72.0,75.84,0.2,2348.0,46.0,-0.976
2025-03-09,76.13,0.33,2265.0,72.0,75.71,0.2,2350.0,46.0,-0.281
2025-03-10,76.08,0.32,2260.0,71.0,75.58,0.2,2351.0,46.0,0.39
2025-03-11,75.95,0.32,2263.0,71.0,75.43,0.2,2352.0,46.0,-0.225
2025-03-12,75.88,0.32,2262.0,71.0,75.31,0.21,2353.0,46.0,0.045
2025-03-13,75.59,0.32,2272.0,71.0,75.07,0.21,2354.0,46.0,-0.853
2025-03-14,75.36,0.32,2286.0,71.0,74.91,0.21,2354.0,46.0,-1.142
2025-03-15,75.11,0.32,2302.0,71.0,74.77,0.21,2355.0,45.0,-1.39
2025-03-16,74.96,0.32,2316.0,71.0,74.71,0.21,2355.0,45.0,-1.205
2025-03-17,74.81,0.32,2317.0,71.0,74.56,0.21,2355.0,45.0,-0.152
2025-03-18,74.75,0.32,2315.0,71.0,74.46,0.21,2355.0,45.0,0.163
2025-03-19,74.66,0.32,2309.0,71.0,74.3,0.21,2355.0,45.0,0.46
2025-03-20,74.57,0.34,2309.0,72.0,74.18,0.22,2354.0,45.0,
2025-03-21,74.73,0.35,2309.0,73.0,74.31,0.22,2353.0,45.0,
2025-03-22,74.8,0.37,2308.0,74.0,74.35,0.22,2353.0,45.0,
2025-03-23,74.7,0.39,2308.0,75.0,74.22,0.22,2352.0,45.0,
2025-03-24,74.75,0.41,2308.0,76.0,74.24,0.22,2351.0,45.0,
2025-03-25,74.95,0.39,2308.0,75.0,74.42,0.21,2349.0,45.0,0.009
2025-03-26,74.71,0.38,2323.0,74.0,74.29,0.21,2348.0,45.0,-0.998
2025-03-27,74.51,0.37,2327.0,73.0,74.11,0.21,2346.0,45.0,-0.3
2025-03-28,74.32,0.36,2328.0,73.0,73.9,0.21,2344.0,45.0,-0.099
2025-03-29,74.13,0.35,2338.0,72.0,73.79,0.21,2342.0,46.0,-0.748
2025-03-30,73.94,0.34,2348.0,72.0,73.67,0.21,2339.0,46.0,-0.796
2025-03-31,73.79,0.34,2352.0,72.0,73.55,0.21,2337.0,46.0,-0.368
2025-04-01,73.9,0.36,2352.0,73.0,73.65,0.21,2334.0,46.0,
2025-04-02,73.77,0.35,2358.0,73.0,73.57,0.21,2331.0,46.0,-0.452
2025-04-03,73.39,0.34,2375.0,72.0,73.35,0.2,2328.0,46.0,-1.388
2025-04-04,72.95,0.34,2400.0,72.0,73.15,0.2,2325.0,46.0,-2.01
2025-04-05,72.58,0.34,2435.0,72.0,73.13,0.2,2322.0,46.0,-2.786
2025-04-06,72.44,0.33,2440.0,72.0,73.09,0.2,2319.0,46.0,-0.508
2025-04-07,72.45,0.33,2431.0,72.0,73.08,0.2,2316.0,46.0,0.707
2025-04-08,72.49,0.33,2415.0,72.0,73.04,0.2,2314.0,46.0,1.206
2025-04-09,72.65,0.33,2387.0,72.0,73.0,0.2,2312.0,46.0,2.296
2025-04-10,72.63,0.32,2373.0,72.0,72.88,0.2,2310.0,46.0,1.133
2025-04-11,72.64,0.32,2359.0,72.0,72.79,0.2,2308.0,46.0,1.153
2025-04-12,72.6,0.32,2358.0,72.0,72.78,0.2,2306.0,46.0,0.003
2025-04-13,72.64,0.32,2345.0,72.0,72.72,0.2,2304.0,46.0,1.06
2025-04-14,72.66,0.32,2329.0,72.0,72.61,0.2,2302.0,46.0,1.356
2025-04-15,72.8,0.32,2305.0,72.0,72.53,0.2,2300.0,46.0,2.052
2025-04-16,72.96,0.32,2283.0,72.0,72.48,0.2,2298.0,46.0,1.864
2025-04-17,72.79,0.32,2276.0,72.0,72.22,0.2,2295.0,46.0,0.584
2025-04-18,72.34,0.32,2308.0,72.0,72.01,0.2,2292.0,46.0,-2.779
2025-04-19,72.06,0.32,2325.0,72.0,71.87,0.2,2289.0,46.0,-1.477
2025-04-20,72.04,0.32,2336.0,72.0,71.94,0.2,2286.0,46.0,-0.942
2025-04-21,72.13,0.33,2335.0,73.0,72.03,0.2,2282.0,46.0,
2025-04-22,72.13,0.33,2339.0,72.0,72.06,0.2,2278.0,46.0,-0.282
2025-04-23,71.97,0.33,2334.0,72.0,71.87,0.2,2275.0,46.0,0.315
2025-04-24,71.81,0.33,2339.0,72.0,71.76,0.2,2271.0,46.0,-0.441
2025-04-25,71.83,0.33,2331.0,72.0,71.71,0.2,2267.0,46.0,0.633
2025-04-26,71.83,0.32,2327.0,72.0,71.69,0.2,2262.0,46.0,0.3
2025-04-27,71.8,0.32,2335.0,72.0,71.73,0.2,2258.0,46.0,-0.672
2025-04-28,71.83,0.32,2325.0,72.0,71.68,0.2,2253.0,46.0,0.759
2025-04-29,71.83,0.32,2328.0,72.0,71.7,0.2,2248.0,46.0,-0.21
2025-04-30,71.78,0.32,2333.0,72.0,71.71,0.2,2243.0,46.0,-0.504
2025-05-01,71.68,0.32,2341.0,72.0,71.68,0.21,2238.0,46.0,-0.64
2025-05-02,71.52,0.32,2341.0,72.0,71.53,0.21,2233.0,46.0,-0.06
2025-05-03,71.47,0.32,2337.0,72.0,71.47,0.21,2227.0,46.0,0.316
2025-05-04,71.37,0.32,2353.0,72.0,71.53,0.21,2221.0,46.0,-1.387
2025-05-05,71.29,0.32,2359.0,72.0,71.53,0.21,2215.0,46.0,-0.588
2025-05-06,71.4,0.32,2362.0,72.0,71.71,0.21,2209.0,46.0,-0.268
2025-05-07,71.37,0.34,2361.0,73.0,71.71,0.22,2203.0,46.0,
2025-05-08,71.25,0.35,2361.0,74.0,71.63,0.22,2197.0,46.0,
2025-05-09,71.11,0.35,2361.0,73.0,71.54,0.22,2191.0,46.0,-0.02
2025-05-10,70.83,0.34,2377.0,73.0,71.45,0.22,2185.0,46.0,-1.262
2025-05-11,70.81,0.34,2374.0,72.0,71.47,0.22,2180.0,46.0,0.215
2025-05-12,70.83,0.36,2373.0,73.0,71.55,0.22,2174.0,46.0,
2025-05-13,70.87,0.37,2373.0,74.0,71.66,0.23,2168.0,46.0,
2025-05-14,70.92,0.36,2352.0,74.0,71.6,0.23,2163.0,46.0,1.304
2025-05-15,70.81,0.36,2331.0,73.0,71.36,0.23,2157.0,46.0,1.466
2025-05-16,70.52,0.35,2346.0,73.0,71.26,0.23,2152.0,46.0,-1.097
2025-05-17,70.4,0.37,2345.0,74.0,71.2,0.23,2146.0,46.0,
2025-05-18,70.39,0.36,2333.0,73.0,71.14,0.23,2141.0,46.0,0.858
