date,fm,surplus,sp,pressure,required_control,control_stock,control_exerted,control_shortfall,surplus_pred_no_control,surplus_pred_with_control
2016-04-01,31.74,-525.0,38.549260745922595,374.5093410257428,499.5093410257428,57.14285714287163,57.14285714287163,442.3664838828712,-25.4906589742572,-82.63351611712883
2016-04-02,31.59,-376.0,38.429704811740116,376.1837646457064,352.1837646457064,57.142857142865545,57.142857142865545,295.04090750284087,-23.81623535429361,-80.95909249715916
2016-04-03,31.49,98.0,38.31048483680178,375.1266660240978,0.0,57.14285714286203,0.0,0.0,-24.8733339759022,-24.8733339759022
2016-04-04,31.52,-422.0,38.19382837171798,367.0605604444888,389.0605604444888,100.00000000000479,100.00000000000479,289.060560444484,-32.93943955551123,-132.939439555516
2016-04-05,31.4,-395.0,38.077114466705574,367.24129566880663,362.24129566880663,82.00000000000277,82.00000000000277,280.24129566880384,-32.75870433119337,-114.75870433119614
2016-04-06,31.29,-417.0,37.960515902562705,366.8783746409488,383.8783746409488,71.5600000000016,71.5600000000016,312.3183746409472,-33.12162535905122,-104.68162535905282
2016-04-07,31.18,-532.0,37.84403069780227,366.5216883791247,498.5216883791247,65.50480000000093,65.50480000000093,433.01688837912377,-33.478311620875274,-98.9831116208762
2016-04-08,31.03,-181.0,37.72696972891974,368.3333350905857,149.3333350905857,61.99278400000054,61.99278400000054,87.34055109058517,-31.666664909414294,-93.65944890941483
2016-04-09,30.98,460.0,37.61106082734359,364.7083455038976,0.0,59.95581472000032,0.0,0.0,-35.29165449610241,-35.29165449610241
2016-04-10,31.11,-63.0,37.49937649350891,351.4157071429902,14.415707142990186,102.75669842560032,14.415707142990186,0.0,-48.584292857009814,-63.0
2016-04-11,31.09,428.0,37.38926724165229,346.459698290876,0.0,138.93528159989225,0.0,0.0,-53.54030170912398,-53.54030170912398
2016-04-12,31.22,260.0,37.28328292302631,333.4805607664473,0.0,180.1565759678944,0.0,0.0,-66.5194392335527,-66.5194392335527
2016-04-13,31.3,11.0,37.1804937036743,323.4271537020865,0.0,220.55344444853654,0.0,0.0,-76.57284629791349,-76.57284629791349
2016-04-14,31.3,-269.0,37.079470341586756,317.87086878727155,186.87086878727155,260.14237555956583,186.87086878727155,0.0,-82.12913121272845,-269.0
2016-04-15,31.23,446.0,36.97897994229099,316.19389682600445,0.0,204.1911805334659,0.0,0.0,-83.80610317399555,-83.80610317399555
2016-04-16,31.35,371.0,36.882277436081644,304.27525898449034,0.0,244.10735692279658,0.0,0.0,-95.72474101550966,-95.72474101550966
2016-04-17,31.46,1380.0,36.78912595520817,293.10192753644935,0.0,283.2252097843407,0.0,0.0,-106.89807246355065,-106.89807246355065
2016-04-18,31.86,-467.0,36.70444652160263,266.4445586881445,333.4445586881445,321.56070558865383,321.56070558865383,11.883853099490693,-133.55544131185547,-455.1161469005093
2016-04-19,31.73,-284.0,36.618988507792835,268.8943679286059,152.8943679286059,210.50520924141918,152.8943679286059,0.0,-131.1056320713941,-284.0
2016-04-20,31.65,-483.0,36.53362425939343,268.5993342666386,351.5993342666386,169.13735788514842,169.13735788514842,182.4619763814902,-131.4006657333614,-300.5380236185098
2016-04-21,31.51,995.0,36.44732140148349,271.552677081592,0.0,122.09966757338609,0.0,0.0,-128.44732291840802,-128.44732291840802
2016-04-22,31.8,-272.0,36.36748320143816,251.21157607909888,123.21157607909888,163.65767422191837,123.21157607909888,0.0,-148.78842392090112,-272.0
2016-04-23,31.72,688.0,36.287642221766454,251.22032219715504,0.0,135.09989030584043,0.0,0.0,-148.77967780284496,-148.77967780284496
2016-04-24,31.92,2.0,36.212608742628014,236.09348084454066,0.0,176.39789249972364,0.0,0.0,-163.90651915545934,-163.90651915545934
2016-04-25,31.92,115.0,36.138864293750245,232.0375361562634,0.0,216.86993464972917,0.0,0.0,-167.9624638437366,-167.9624638437366
2016-04-26,31.96,1158.0,36.06707390642299,225.88906485326444,0.0,256.5325359567346,0.0,0.0,-174.11093514673556,-174.11093514673556
2016-04-27,32.29,1092.0,36.00218603746029,204.17023206031604,0.0,295.4018852375999,0.0,0.0,-195.82976793968396,-195.82976793968396
2016-04-28,32.6,51.0,35.94373851769902,183.90561847344588,0.0,333.4938475328479,0.0,0.0,-216.09438152655412,-216.09438152655412
2016-04-29,32.62,2500.0,35.88663867937285,179.66512736550695,0.0,370.82397058219095,0.0,0.0,-220.33487263449305,-220.33487263449305
2016-04-30,33.34,1849.0,35.84288895113971,137.65889231268403,0.0,407.40749117054713,0.0,0.0,-262.34110768731597,-262.34110768731597
2016-05-01,33.87,195.0,35.80899589982244,106.64477449023444,0.0,443.25934134713617,0.0,0.0,-293.35522550976555,-293.35522550976555
2016-05-02,33.92,804.0,35.77654408091302,102.109924450216,0.0,478.39415452019347,0.0,0.0,-297.890075549784,-297.890075549784
2016-05-03,34.16,1092.0,35.74877282117772,87.38250516477461,0.0,512.8262714297896,0.0,0.0,-312.6174948352254,-312.6174948352254
2016-05-04,34.47,651.0,35.72680426951328,69.1242348232305,0.0,546.5697460011938,0.0,0.0,-330.8757651767695,-330.8757651767695
2016-05-05,34.66,349.0,35.70847721069367,57.66624658815218,0.0,579.63835108117,0.0,0.0,-342.33375341184785,-342.33375341184785
2016-05-06,34.76,393.0,35.692182939920485,51.2700616956268,0.0,612.0455840595465,0.0,0.0,-348.7299383043732,-348.7299383043732
2016-05-07,34.87,1122.0,35.678058329126344,44.44320810194906,0.0,643.8046723783556,0.0,0.0,-355.55679189805096,-355.55679189805096
2016-05-08,35.2,1140.0,35.66984557317149,25.841506524431956,0.0,674.9285789307885,0.0,0.0,-374.15849347556804,-374.15849347556804
2016-05-09,35.52,1151.0,35.667271315913766,8.099922375256945,0.0,705.4300073521728,0.0,0.0,-391.90007762474306,-391.90007762474306
2016-05-10,35.85,884.0,35.67041048533498,-9.877423306575999,0.0,735.3214072051293,0.0,0.0,-409.877423306576,-409.877423306576
2016-05-11,36.11,810.0,35.67796237008271,-23.762069645450907,0.0,764.6149790610267,0.0,0.0,-423.7620696454509,-423.7620696454509
2016-05-12,36.34,-193.0,35.68933578030521,-35.78653208321381,0.0,793.3226794798062,0.0,0.0,-435.7865320832138,-435.7865320832138
2016-05-13,36.29,-327.0,35.69965483207485,-32.46898423588327,0.0,821.45622589021,0.0,0.0,-432.4689842358833,-432.4689842358833
2016-05-14,36.2,-645.0,35.70825046258058,-27.046224558068275,217.95377544193173,849.0271013724058,217.95377544193173,0.0,-427.0462245580683,-645.0
2016-05-15,36.01,-523.0,35.71343433902269,-16.311111353751926,106.68888864624807,768.865049168185,106.68888864624807,0.0,-416.3111113537519,-523.0
2016-05-16,35.87,-336.0,35.71612404336665,-8.46317761483423,0.0,734.812192726322,0.0,0.0,-408.46317761483425,-408.46317761483425
2016-05-17,35.77,-393.0,35.71704960005441,-2.9122719970076716,0.0,764.1159488717956,0.0,0.0,-402.9122719970077,-402.9122719970077
2016-05-18,35.66,-284.0,35.71606952207224,3.0838237139733238,0.0,792.8336298943597,0.0,0.0,-396.91617628602665,-396.91617628602665
2016-05-19,35.58,-515.0,35.7137319291268,7.35525610197417,122.35525610197419,820.9769572964725,122.35525610197419,0.0,-392.6447438980258,-515.0
2016-05-20,35.43,-591.0,35.7088575844108,15.337167142594055,206.33716714259407,779.6153157097534,206.33716714259407,0.0,-384.66283285740593,-591.0
2016-05-21,35.26,-130.0,35.7011464797722,24.263056387471025,0.0,705.4881425385207,0.0,0.0,-375.736943612529,-375.736943612529
2016-05-22,35.22,-462.0,35.69288067123765,26.008436918070963,88.00843691807097,735.3783796877503,88.00843691807097,0.0,-373.99156308192903,-462.0
2016-05-23,35.09,-366.0,35.68252354215715,32.58879481864302,0.0,729.4674373267669,0.0,0.0,-367.411205181357,-367.411205181357
2016-05-24,34.98,-341.0,35.67045460819502,37.97500345072642,0.0,758.8780885802316,0.0,0.0,-362.02499654927357,-362.02499654927357
2016-05-25,34.88,-232.0,35.65687507114908,42.7281289131993,0.0,787.700526808627,0.0,0.0,-357.27187108680073,-357.27187108680073
2016-05-26,34.82,-307.0,35.64249805833434,45.237393208388674,0.0,815.9465162724545,0.0,0.0,-354.76260679161135,-354.76260679161135
2016-05-27,34.73,-281.0,35.626821887863535,49.32520383249461,0.0,843.6275859470054,0.0,0.0,-350.6747961675054,-350.6747961675054
2016-05-28,34.65,88.0,35.610040672502144,52.802236987618016,0.0,870.7550342280653,0.0,0.0,-347.197763012382,-347.197763012382
2016-05-29,34.67,-189.0,35.593891336405434,50.814023502298795,0.0,897.339933543504,0.0,0.0,-349.1859764977012,-349.1859764977012
2016-05-30,34.62,94.0,35.577160466164024,52.64382563902146,0.0,923.3931348726339,0.0,0.0,-347.35617436097857,-347.35617436097857
2016-05-31,34.64,-281.0,35.56106061028827,50.65833356585497,0.0,948.9252721751812,0.0,0.0,-349.34166643414505,-349.34166643414505
2016-06-01,34.56,-267.0,35.5438629881836,54.11246435009776,0.0,973.9467667316776,0.0,0.0,-345.88753564990225,-345.88753564990225
2016-06-02,34.49,-470.0,35.52575825283129,56.966703905720735,126.96670390572075,998.467831397044,126.96670390572075,0.0,-343.03329609427925,-470.0
2016-06-03,34.35,-345.0,35.505559429792164,63.55576863856896,8.555768638568964,951.7117932068148,8.555768638568964,0.0,-336.44423136143104,-345.0
2016-06-04,34.25,-129.0,35.48398967029747,67.86943186636077,0.0,973.2552498872509,0.0,0.0,-332.13056813363926,-332.13056813363926
2016-06-05,34.22,-218.0,35.46227508431677,68.32512963742253,0.0,997.7901448895059,0.0,0.0,-331.67487036257745,-331.67487036257745
2016-06-06,34.16,-77.0,35.439902777838775,70.3946527811328,0.0,1021.8343419917157,0.0,0.0,-329.6053472188672,-329.6053472188672
2016-06-07,34.14,173.0,35.41757122616614,70.2664174391376,0.0,1045.3976551518815,0.0,0.0,-329.7335825608624,-329.7335825608624
2016-06-08,34.19,136.0,35.396482287257534,66.3565257991645,0.0,1068.4897020488438,0.0,0.0,-333.6434742008355,-333.6434742008355
2016-06-09,34.23,254.0,35.376442819754885,63.05435508651886,0.0,1091.119908007867,0.0,0.0,-336.94564491348115,-336.94564491348115
2016-06-10,34.3,129.0,35.35795017641124,58.187259702618164,0.0,1113.2975098477098,0.0,0.0,-341.8127402973818,-341.8127402973818
