half_life_days,surplus_window_days,r,abs_r,n
50,35,-0.7885916568672797,0.7885916568672797,3618
110,75,-0.7881787445179188,0.7881787445179188,3578
65,45,-0.7859471596448402,0.7859471596448402,3608
95,65,-0.7855526310291957,0.7855526310291957,3588
120,80,-0.7855331008994393,0.7855331008994393,3573
80,55,-0.7851035507545819,0.7851035507545819,3598
50,180,-0.784701393555599,0.784701393555599,3473
30,130,-0.7843257532462413,0.7843257532462413,3523
35,145,-0.7841616828683141,0.7841616828683141,3508
45,170,-0.7827738178066763,0.7827738178066763,3483
105,70,-0.7814028326912323,0.7814028326912323,3583
40,160,-0.7799838963287801,0.7799838963287801,3493
90,60,-0.7788104509692401,0.7788104509692401,3593
115,75,-0.778749480121184,0.778749480121184,3578
75,50,-0.7776255316559552,0.7776255316559552,3603
25,115,-0.7775282141981305,0.7775282141981305,3538
60,40,-0.7767166812410589,0.7767166812410589,3613
45,30,-0.7764357328868459,0.7764357328868459,3623
100,65,-0.774261781665513,0.774261781665513,3588
35,150,-0.7714697867836203,0.7714697867836203,3503
110,70,-0.7713130701779236,0.7713130701779236,3583
85,55,-0.7712552344527479,0.7712552344527479,3598
15,80,-0.7701323487664773,0.7701323487664773,3573
30,135,-0.769821468619863,0.769821468619863,3518
120,75,-0.7696584994066685,0.7696584994066685,3578
20,100,-0.7693784713098041,0.7693784713098041,3553
45,175,-0.7690573162877408,0.7690573162877408,3478
70,45,-0.768457310739814,0.768457310739814,3608
95,60,-0.7666211392343117,0.7666211392343117,3593
