com.samsung.shealth.sleep,6060029,2
com.samsung.health.sleep.datauuid,efficiency,original_efficiency,original_bed_time,has_sleep_data,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.end_time,com.samsung.health.sleep.custom,original_wake_up_time,quality,com.samsung.health.sleep.deviceuuid,extra_data,com.samsung.health.sleep.start_time,com.samsung.health.sleep.update_time,com.samsung.health.sleep.comment
2f546bb2-af38-4fe6-8297-2c18f9c654b8,0.0,,,,com.sec.android.app.shealth,1542299235772,UTC-0400,1542293400000,,,0,Mz5pMh3q+T,,1542269400000,1542299235772,
1ddd0dc8-815f-4e3c-8c88-aa0e12a4a805,0.0,,,,com.sec.android.app.shealth,1546630248520,UTC-0400,1546616400000,,,0,Mz5pMh3q+T,,1546591200000,1546630248520,
298ee05d-97e0-49b9-a02d-8cc9d8a3a4f0,0.0,,,,com.sec.android.app.shealth,1521999961479,UTC-0300,1521898800000,,,0,EHdtKydEi4,,1521873600000,1521999961479,
1173f7f9-23bb-43e1-bb84-055d926beea4,0.0,,,,com.sec.android.app.shealth,1563205302273,UTC-0300,1563196800000,,,0,4V/TlqPcbG,,1563172800000,1563205302273,
a18077c1-cac0-ce66-f450-ec0bafa2ce38,95.726494,,,1,com.sec.android.app.shealth,1508469371777,UTC-0300,1508468460000,,,,PEzvKidhug,,1508461500000,1508469371777,
9c5234ab-15b4-48b3-9f0d-5d59b310cee4,0.0,,,,com.sec.android.app.shealth,1557762827876,UTC-0300,1557753000000,,,0,4V/TlqPcbG,,1557730200000,1557762827876,
bad316d1-2ea1-4c42-81b9-9cea32a88887,0.0,,,,com.sec.android.app.shealth,1484869958795,UTC-0400,1484319000000,,,0,Q2GTsbBv8Q,,1484288400000,1484869958795,
e24c2768-8515-4505-acfe-1ba91fbf7c21,0.0,,,,com.sec.android.app.shealth,1549818252240,UTC-0400,1549818248946,,,0,Mz5pMh3q+T,,1549788600000,1549818252240,
351ce644-6e2b-5f79-beeb-a4b36f8e6e38,0.0,,,1,com.sec.android.app.shealth,1488245285270,UTC-0400,1488238140000,,,,PEzvKidhug,,1488237780000,1488245285270,
c338327a-6308-499b-b84f-4ff26b95b9ef,0.0,,,,com.sec.android.app.shealth,1545934587902,UTC-0400,1545925800000,,,0,Mz5pMh3q+T,,1545901200000,1545934587902,
7e7ae5ce-b75f-4607-9d9f-adf02bb4e3d0,0.0,,,,com.sec.android.app.shealth,1484869919356,UTC-0400,1484669400000,,,0,Q2GTsbBv8Q,,1484642400000,1484869919356,
512e3786-614d-4438-bc8d-16d362fc92a1,0.0,,,,com.sec.android.app.shealth,1505771266563,UTC-0300,1505746200000,,,0,EHdtKydEi4,,1505718600000,1505771266563,
1d5f1e4c-ce13-4d56-a400-085aa6d95318,0.0,,,,com.sec.android.app.shealth,1559056718022,UTC-0300,1559056716592,,,0,4V/TlqPcbG,,1559020800000,1559056718022,
32482360-480f-f3f4-8dab-e4afc976a345,97.08738,,,1,com.sec.android.app.shealth,1520710704345,UTC-0400,1520710320000,,,,PEzvKidhug,,1520704200000,1520710704345,
bb4a012c-2756-48a6-8c74-b28b2cdf8811,0.0,,,,com.sec.android.app.shealth,1542553895149,UTC-0400,1542552000000,,,0,Mz5pMh3q+T,,1542525600000,1542553895149,
fc069a4f-5f0e-46ad-a86d-9eab1b73a2bc,0.0,,,,com.sec.android.app.shealth,1558361139829,UTC-0300,1558361133361,,,0,4V/TlqPcbG,,1558335000000,1558361139829,
54972332-0a58-4cfa-a7cf-208203b2a739,0.0,,,,com.sec.android.app.shealth,1484869980046,UTC-0400,1483978200000,,,0,Q2GTsbBv8Q,,1483951200000,1484869980046,
db1c7588-ae4c-fe7d-bab2-6fecee69bfe6,90.69768,,,1,com.sec.android.app.shealth,1513660722835,UTC-0400,1513659840000,,,,PEzvKidhug,,1513654740000,1513660722835,
ef059628-7a25-4b17-be76-ae7d3768f2bd,0.0,,,,com.sec.android.app.shealth,1560763185575,UTC+0400,1560757800000,,,0,4V/TlqPcbG,,1560732600000,1560763185575,
7ea64358-13d0-4bfb-b575-01fe43b3d496,0.0,,,,com.sec.android.app.shealth,1492027593760,UTC-0300,1491837600000,,,0,Q2GTsbBv8Q,,1491812400000,1492027593760,
45601296-d450-456e-8f86-7d4bbba8eb3b,0.0,,,,com.sec.android.app.shealth,1521999956254,UTC-0300,1521987000000,,,0,EHdtKydEi4,,1521954000000,1521999956254,
69f62acc-355d-1616-5709-5ef919ce7116,90.909096,,,1,com.sec.android.app.shealth,1488344454370,UTC-0400,1488337200000,,,,PEzvKidhug,,1488335280000,1488344454370,
1e3c35db-e5bd-488d-9446-bae112d20b27,0.0,,,,com.sec.android.app.shealth,1492294857735,UTC-0300,1492264200000,,,0,Q2GTsbBv8Q,,1492240200000,1492294857735,
4f5bf307-1407-4f94-9af1-885b19a6e8f8,0.0,,,,com.sec.android.app.shealth,1491754320855,UTC-0300,1491577800000,,,0,Q2GTsbBv8Q,,1491547800000,1491754320855,
eede890b-14a9-4712-9d95-fa5019e9ea4e,0.0,,,,com.sec.android.app.shealth,1546963706692,UTC-0400,1546963200000,,,0,Mz5pMh3q+T,,1546934400000,1546963706692,
39ae6a4d-b69a-7b82-3f21-04969b2b3503,74.5098,,,1,com.sec.android.app.shealth,1533443933537,UTC-0300,1533443040000,,,,PEzvKidhug,,1533439260000,1533443933537,
acfe54de-46d4-77ba-48e9-2ab6f6eb3050,91.0,,,1,com.sec.android.app.shealth,1559554813331,UTC-0400,1559554800000,,,,PEzvKidhug,acfe54de-46d4-77ba-48e9-2ab6f6eb3050.extra_data.json,1559549760000,1559554813331,
