com.samsung.health.step_count,6060029,6
create_time,distance,time_offset,custom,count,end_time,speed,deviceuuid,start_time,pkg_name,update_time,datauuid,calorie,sample_position_type
2019-08-24 14:58:42.582,5.07,UTC-0300,,7,2019-08-24 14:59:00.000,1.1944445,cfxbbbfj2r,2019-08-24 14:58:00.000,com.sec.android.app.shealth,2019-08-24 14:58:42.582,8fe352e3-de96-4e94-ad82-75ba0b1cf4a0,0.34,
2019-08-24 15:23:31.149,7.39,UTC-0300,,10,2019-08-24 15:24:00.000,1.2329183,cfxbbbfj2r,2019-08-24 15:23:00.000,com.sec.android.app.shealth,2019-08-24 15:23:34.006,1b232cf9-5490-4dff-bfd2-0c6c55cd8a9e,0.47000003,
2019-08-24 17:53:24.479,13.989999,UTC-0300,,19,2019-08-24 17:54:00.000,1.1066892,cfxbbbfj2r,2019-08-24 17:53:00.000,com.sec.android.app.shealth,2019-08-24 17:53:29.033,6abbaf30-2640-4ecf-81db-abb7f11aeb62,0.8500001,
2019-08-24 18:01:56.966,8.33,UTC-0300,,11,2019-08-24 18:02:00.000,1.3656929,cfxbbbfj2r,2019-08-24 18:01:00.000,com.sec.android.app.shealth,2019-08-24 18:01:59.499,3d9c5dbb-1496-4fd3-a304-70d6ac037119,0.52000004,
2019-08-24 18:02:00.091,4.49,UTC-0300,,6,2019-08-24 18:03:00.000,1.2634237,cfxbbbfj2r,2019-08-24 18:02:00.000,com.sec.android.app.shealth,2019-08-24 18:02:03.491,f9031507-4fdc-4485-af3d-d92f9bb68a7b,0.3,
2019-08-24 18:23:52.459,10.1,UTC-0300,,14,2019-08-24 18:24:00.000,1.0117376,cfxbbbfj2r,2019-08-24 18:23:00.000,com.sec.android.app.shealth,2019-08-24 18:23:59.282,19c45f41-4605-4ee6-bc9b-068d6a2c0878,0.68000007,
2019-08-24 19:55:08.319,8.08,UTC-0300,,11,2019-08-24 19:56:00.000,1.1625553,cfxbbbfj2r,2019-08-24 19:55:00.000,com.sec.android.app.shealth,2019-08-24 19:55:12.628,1590a3c8-dd9f-4dcf-a25a-f2897f501bb1,0.53000003,
2019-08-24 20:02:30.072,10.369999,UTC-0300,,14,2019-08-24 20:03:00.000,1.1763909,cfxbbbfj2r,2019-08-24 20:02:00.000,com.sec.android.app.shealth,2019-08-24 20:02:35.212,3ff618fa-ab91-4392-bd9d-73e19cfc7f83,0.68000007,
2019-08-24 22:24:31.717,5.02,UTC-0300,,7,2019-08-24 22:24:00.000,0.8888889,cfxbbbfj2r,2019-08-24 22:23:00.000,com.sec.android.app.shealth,2019-08-24 22:24:31.717,0a6e47d9-1863-4518-ba06-fa104c2d9c93,0.34,
2019-08-24 22:26:37.974,5.05,UTC-0300,,7,2019-08-24 22:27:00.000,1.0910267,cfxbbbfj2r,2019-08-24 22:26:00.000,com.sec.android.app.shealth,2019-08-24 22:26:39.592,b2760619-7a0e-4ee9-904c-768f63be2d03,0.34,
2019-08-25 06:31:13.463,13.999998,UTC-0300,,19,2019-08-25 06:32:00.000,1.1110386,cfxbbbfj2r,2019-08-25 06:31:00.000,com.sec.android.app.shealth,2019-08-25 06:31:18.204,39db65d7-0d64-449b-b4dc-fce6c3383f79,0.8500001,
2019-08-25 16:48:44.423,13.189999,UTC-0300,,18,2019-08-25 16:49:00.000,1.1712407,cfxbbbfj2r,2019-08-25 16:48:00.000,com.sec.android.app.shealth,2019-08-25 16:48:48.179,aec83f75-b12f-4b24-b29e-1719e16565a6,0.8000001,
2019-08-25 17:02:20.497,6.629999,UTC-0300,,9,2019-08-25 17:03:00.000,1.1569065,cfxbbbfj2r,2019-08-25 17:02:00.000,com.sec.android.app.shealth,2019-08-25 17:02:22.135,0151a08a-ad1b-4af0-a5a5-c2c38c5594d0,0.43000004,
2019-08-25 18:36:34.557,5.3100004,UTC-0300,,7,2019-08-25 18:37:00.000,1.3335009,cfxbbbfj2r,2019-08-25 18:36:00.000,com.sec.android.app.shealth,2019-08-25 18:36:36.412,304affd2-540e-4a54-8b3c-f10b7767b5b9,0.33,
2019-08-25 18:46:35.858,5.71,UTC-0300,,8,2019-08-25 18:47:00.000,1.0409667,cfxbbbfj2r,2019-08-25 18:46:00.000,com.sec.android.app.shealth,2019-08-25 18:46:38.413,fd6458ba-174a-4061-a1ad-cd70efb05996,0.39000002,
2019-08-25 20:27:01.957,16.42,UTC-0300,,22,2019-08-25 20:28:00.000,1.2670045,cfxbbbfj2r,2019-08-25 20:27:00.000,com.sec.android.app.shealth,2019-08-25 20:27:11.374,e8cdd682-c5ed-4156-a40c-b8afc24ce7a6,1.07,
2019-08-25 20:58:21.196,5.76,UTC-0300,,8,2019-08-25 20:59:00.000,1.0447706,cfxbbbfj2r,2019-08-25 20:58:00.000,com.sec.android.app.shealth,2019-08-25 20:58:22.674,0f541f1a-bf16-42b0-ad67-34ebf6c43c67,0.39000002,
2019-08-25 21:02:23.760,6.45,UTC-0300,,9,2019-08-25 21:00:00.000,0.9444444,cfxbbbfj2r,2019-08-25 20:59:00.000,com.sec.android.app.shealth,2019-08-25 21:02:23.760,e31227b8-1baf-4203-b414-b4051c46332d,0.44,
2019-08-25 21:02:23.772,17.62,UTC-0300,,24,2019-08-25 21:01:00.000,1.0833334,cfxbbbfj2r,2019-08-25 21:00:00.000,com.sec.android.app.shealth,2019-08-25 21:02:23.772,797afef3-7d4a-4f77-8bed-56c19a06c507,1.16,
2019-08-25 21:02:23.786,19.96,UTC-0300,,28,2019-08-25 21:02:00.000,0.9722222,cfxbbbfj2r,2019-08-25 21:01:00.000,com.sec.android.app.shealth,2019-08-25 21:02:23.786,1342e5f1-4198-4506-8136-e720989c6152,1.38,
